NO,우선순위,K,lon,lat,id,시,구,도로명주소
151,15,17,126.8771851,37.50127567,2853,서울특별시,구로구,서울특별시 구로구 경인로 531
152,16,17,126.8164618,37.58476484,2852,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
153,17,17,127.0737078,37.55983509,2851,서울특별시,광진구,서울특별시 광진구 동일로 322
154,1,18,127.1034226,37.50766,2850,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
155,2,18,127.0668206,37.57603432,2849,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
156,3,18,127.0356428,37.49028717,2848,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
157,4,18,127.0169049,37.58936078,2847,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
158,5,18,127.0785766,37.49946173,2846,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
159,6,18,126.9060274,37.57353209,2845,서울특별시,서대문구,서울특별시 서대문구 수색로 123
160,7,18,126.8475203,37.52995871,2844,서울특별시,강서구,서울특별시 강서구 강서로 21
161,8,18,127.129303,37.53658752,2843,서울특별시,강동구,서울특별시 강동구 천호대로 1056
162,9,18,127.0589677,37.56338635,2842,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
163,10,18,126.8270683,37.53885739,2841,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
164,11,18,126.8316682,37.53077141,2840,서울특별시,양천구,서울특별시 양천구 남부순환로 412
165,12,18,126.8374145,37.52088897,2839,서울특별시,양천구,서울특별시 양천구 남부순환로 538
166,13,18,126.8602541,37.49667843,2838,서울특별시,구로구,서울특별시 구로구 경인로 364
167,14,18,126.8608626,37.55797338,2837,서울특별시,강서구,서울특별시 강서구 양천로 556
168,15,18,126.9022103,37.48427922,2836,서울특별시,구로구,서울특별시 구로구 시흥대로 573
169,16,18,126.8771851,37.50127567,2835,서울특별시,구로구,서울특별시 구로구 경인로 531
170,17,18,126.8164618,37.58476484,2834,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
171,18,18,127.0737078,37.55983509,2833,서울특별시,광진구,서울특별시 광진구 동일로 322
172,1,19,127.1034226,37.50766,2832,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
173,2,19,127.0668206,37.57603432,2831,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
174,3,19,127.0356428,37.49028717,2830,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
175,4,19,127.0169049,37.58936078,2829,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
176,5,19,127.0785766,37.49946173,2828,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
177,6,19,126.9060274,37.57353209,2827,서울특별시,서대문구,서울특별시 서대문구 수색로 123
178,7,19,126.8475203,37.52995871,2826,서울특별시,강서구,서울특별시 강서구 강서로 21
179,8,19,127.129303,37.53658752,2825,서울특별시,강동구,서울특별시 강동구 천호대로 1056
180,9,19,127.0589677,37.56338635,2824,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
181,10,19,126.8270683,37.53885739,2823,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
182,11,19,126.8316682,37.53077141,2822,서울특별시,양천구,서울특별시 양천구 남부순환로 412
183,12,19,126.8374145,37.52088897,2821,서울특별시,양천구,서울특별시 양천구 남부순환로 538
184,13,19,126.8602541,37.49667843,2820,서울특별시,구로구,서울특별시 구로구 경인로 364
185,14,19,126.8608626,37.55797338,2819,서울특별시,강서구,서울특별시 강서구 양천로 556
186,15,19,127.1317174,37.50594889,2818,서울특별시,송파구,서울특별시 송파구 마천로 103
187,16,19,126.9022103,37.48427922,2817,서울특별시,구로구,서울특별시 구로구 시흥대로 573
188,17,19,126.8771851,37.50127567,2816,서울특별시,구로구,서울특별시 구로구 경인로 531
189,18,19,126.8164618,37.58476484,2815,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
190,19,19,127.0737078,37.55983509,2814,서울특별시,광진구,서울특별시 광진구 동일로 322
191,1,20,127.1034226,37.50766,2813,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
192,2,20,127.0668206,37.57603432,2812,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
193,3,20,127.0356428,37.49028717,2811,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
194,4,20,127.0169049,37.58936078,2810,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
195,5,20,127.0785766,37.49946173,2809,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
196,6,20,126.9060274,37.57353209,2808,서울특별시,서대문구,서울특별시 서대문구 수색로 123
197,7,20,126.8475203,37.52995871,2807,서울특별시,강서구,서울특별시 강서구 강서로 21
198,8,20,127.129303,37.53658752,2806,서울특별시,강동구,서울특별시 강동구 천호대로 1056
199,9,20,127.0589677,37.56338635,2805,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
200,10,20,126.8270683,37.53885739,2804,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
201,11,20,126.8316682,37.53077141,2803,서울특별시,양천구,서울특별시 양천구 남부순환로 412
202,12,20,126.8374145,37.52088897,2802,서울특별시,양천구,서울특별시 양천구 남부순환로 538
203,13,20,126.8602541,37.49667843,2801,서울특별시,구로구,서울특별시 구로구 경인로 364
204,14,20,126.8608626,37.55797338,2800,서울특별시,강서구,서울특별시 강서구 양천로 556
205,15,20,127.1317174,37.50594889,2799,서울특별시,송파구,서울특별시 송파구 마천로 103
206,16,20,127.032418,37.64440506,2798,서울특별시,도봉구,서울특별시 도봉구 도봉로 430
207,17,20,126.9022103,37.48427922,2797,서울특별시,구로구,서울특별시 구로구 시흥대로 573
208,18,20,126.8771851,37.50127567,2796,서울특별시,구로구,서울특별시 구로구 경인로 531
209,19,20,126.8164618,37.58476484,2795,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
210,20,20,127.0737078,37.55983509,2794,서울특별시,광진구,서울특별시 광진구 동일로 322
211,1,21,127.1034226,37.50766,2793,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
212,2,21,127.0668206,37.57603432,2792,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
213,3,21,127.0356428,37.49028717,2791,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
214,4,21,127.0169049,37.58936078,2790,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
215,5,21,127.0785766,37.49946173,2789,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
216,6,21,126.9060274,37.57353209,2788,서울특별시,서대문구,서울특별시 서대문구 수색로 123
217,7,21,126.8475203,37.52995871,2787,서울특별시,강서구,서울특별시 강서구 강서로 21
218,8,21,127.129303,37.53658752,2786,서울특별시,강동구,서울특별시 강동구 천호대로 1056
219,9,21,127.0589677,37.56338635,2785,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
220,10,21,126.8270683,37.53885739,2784,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
221,11,21,126.8316682,37.53077141,2783,서울특별시,양천구,서울특별시 양천구 남부순환로 412
222,12,21,126.8374145,37.52088897,2782,서울특별시,양천구,서울특별시 양천구 남부순환로 538
223,13,21,126.8602541,37.49667843,2781,서울특별시,구로구,서울특별시 구로구 경인로 364
224,14,21,126.8608626,37.55797338,2780,서울특별시,강서구,서울특별시 강서구 양천로 556
225,15,21,127.1317174,37.50594889,2779,서울특별시,송파구,서울특별시 송파구 마천로 103
226,16,21,127.032418,37.64440506,2778,서울특별시,도봉구,서울특별시 도봉구 도봉로 430
227,17,21,126.8978669,37.46172322,2777,서울특별시,금천구,서울특별시 금천구 시흥대로 316
228,18,21,126.9022103,37.48427922,2776,서울특별시,구로구,서울특별시 구로구 시흥대로 573
229,19,21,126.8771851,37.50127567,2775,서울특별시,구로구,서울특별시 구로구 경인로 531
230,20,21,126.8164618,37.58476484,2774,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
231,21,21,127.0737078,37.55983509,2773,서울특별시,광진구,서울특별시 광진구 동일로 322
232,1,22,127.1034226,37.50766,2772,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
233,2,22,127.0668206,37.57603432,2771,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
234,3,22,127.0356428,37.49028717,2770,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
