NO,K,lon,lat,id,시,구,도로명주소
152,17,126.8164618,37.58476484,2852,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
153,17,127.0737078,37.55983509,2851,서울특별시,광진구,서울특별시 광진구 동일로 322
154,18,127.1034226,37.50766,2850,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
155,18,127.0668206,37.57603432,2849,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
156,18,127.0356428,37.49028717,2848,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
157,18,127.0169049,37.58936078,2847,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
158,18,127.0785766,37.49946173,2846,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
159,18,126.9060274,37.57353209,2845,서울특별시,서대문구,서울특별시 서대문구 수색로 123
160,18,126.8475203,37.52995871,2844,서울특별시,강서구,서울특별시 강서구 강서로 21
161,18,127.129303,37.53658752,2843,서울특별시,강동구,서울특별시 강동구 천호대로 1056
162,18,127.0589677,37.56338635,2842,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
163,18,126.8270683,37.53885739,2841,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
164,18,126.8316682,37.53077141,2840,서울특별시,양천구,서울특별시 양천구 남부순환로 412
165,18,126.8374145,37.52088897,2839,서울특별시,양천구,서울특별시 양천구 남부순환로 538
166,18,126.8602541,37.49667843,2838,서울특별시,구로구,서울특별시 구로구 경인로 364
167,18,126.8608626,37.55797338,2837,서울특별시,강서구,서울특별시 강서구 양천로 556
168,18,126.9022103,37.48427922,2836,서울특별시,구로구,서울특별시 구로구 시흥대로 573
169,18,126.8771851,37.50127567,2835,서울특별시,구로구,서울특별시 구로구 경인로 531
170,18,126.8164618,37.58476484,2834,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
171,18,127.0737078,37.55983509,2833,서울특별시,광진구,서울특별시 광진구 동일로 322
172,19,127.1034226,37.50766,2832,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
173,19,127.0668206,37.57603432,2831,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
174,19,127.0356428,37.49028717,2830,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
175,19,127.0169049,37.58936078,2829,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
176,19,127.0785766,37.49946173,2828,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
177,19,126.9060274,37.57353209,2827,서울특별시,서대문구,서울특별시 서대문구 수색로 123
178,19,126.8475203,37.52995871,2826,서울특별시,강서구,서울특별시 강서구 강서로 21
179,19,127.129303,37.53658752,2825,서울특별시,강동구,서울특별시 강동구 천호대로 1056
180,19,127.0589677,37.56338635,2824,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
181,19,126.8270683,37.53885739,2823,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
182,19,126.8316682,37.53077141,2822,서울특별시,양천구,서울특별시 양천구 남부순환로 412
183,19,126.8374145,37.52088897,2821,서울특별시,양천구,서울특별시 양천구 남부순환로 538
184,19,126.8602541,37.49667843,2820,서울특별시,구로구,서울특별시 구로구 경인로 364
185,19,126.8608626,37.55797338,2819,서울특별시,강서구,서울특별시 강서구 양천로 556
186,19,127.1317174,37.50594889,2818,서울특별시,송파구,서울특별시 송파구 마천로 103
187,19,126.9022103,37.48427922,2817,서울특별시,구로구,서울특별시 구로구 시흥대로 573
188,19,126.8771851,37.50127567,2816,서울특별시,구로구,서울특별시 구로구 경인로 531
189,19,126.8164618,37.58476484,2815,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
190,19,127.0737078,37.55983509,2814,서울특별시,광진구,서울특별시 광진구 동일로 322
191,20,127.1034226,37.50766,2813,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
192,20,127.0668206,37.57603432,2812,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
193,20,127.0356428,37.49028717,2811,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
194,20,127.0169049,37.58936078,2810,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
195,20,127.0785766,37.49946173,2809,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
