사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,하이브리드(휘발유+전기),하이브리드(경유+전기),하이브리드(LPG+전기),하이브리드(CNG+전기),수소,기타연료
서울특별시 용산구 서빙고동,2189,747,629,51,7,1,613,0,135,1,0,0,2,3
서울특별시 용산구 주성동,281,67,91,25,1,0,79,0,15,0,1,0,0,2
서울특별시 용산구 용산동6가,58,3,49,0,0,0,5,0,1,0,0,0,0,0
서울특별시 용산구 보광동,3137,697,1163,274,9,1,899,0,89,0,0,0,1,4
서울특별시 성동구 상왕십리동,1196,305,432,42,3,0,349,0,56,0,1,0,0,8
서울특별시 성동구 하왕십리동,9169,2210,3136,451,27,4,2950,1,366,6,1,0,5,12
서울특별시 성동구 홍익동,1012,197,452,62,5,0,266,10,19,1,0,0,0,0
서울특별시 성동구 도선동,1166,215,477,86,0,1,345,1,39,0,0,0,1,1
서울특별시 성동구 마장동,8410,1203,3754,1133,77,2,2030,3,186,1,7,0,1,13
서울특별시 성동구 사근동,1198,228,467,137,1,0,334,0,31,0,0,0,0,0
서울특별시 성동구 행당동,11985,2880,3909,639,95,5,3849,15,543,3,9,0,3,35
서울특별시 성동구 응봉동,4577,1090,1532,257,12,2,1458,0,212,0,2,0,0,12
서울특별시 성동구 금호동1가,4864,1092,1626,367,15,4,1542,1,194,3,2,0,1,17
서울특별시 성동구 금호동2가,2926,748,1042,150,14,5,832,1,125,4,1,0,1,3
서울특별시 성동구 금호동3가,3332,787,1158,224,9,2,1037,0,107,2,1,0,1,4
서울특별시 성동구 금호동4가,4512,1233,1509,215,19,1,1289,0,224,3,3,0,2,14
서울특별시 성동구 옥수동,8748,2596,2734,280,45,7,2589,11,441,14,6,0,4,21
서울특별시 성동구 성수동1가,16575,2504,4934,1058,495,2,6824,320,377,1,31,0,7,22
서울특별시 성동구 성수동2가,15725,2728,6374,1637,86,2,4353,96,399,17,5,0,7,21
서울특별시 성동구 송정동,2844,483,1156,275,9,0,851,1,64,0,2,0,0,3
서울특별시 성동구 용답동,7979,1442,3165,1150,42,1,2027,4,134,4,4,0,1,5
서울특별시 광진구 중곡동,21725,3779,8586,2250,54,7,6477,18,503,7,15,0,3,26
서울특별시 광진구 능동,3030,615,1126,231,12,2,946,1,88,0,2,0,3,4
서울특별시 광진구 구의동,22665,4892,7880,1740,75,10,7246,7,754,4,10,0,12,35
서울특별시 광진구 광장동,11765,3183,3580,439,33,2,3864,7,617,8,5,0,2,25
서울특별시 광진구 자양동,30630,6270,12395,2274,91,11,8448,156,889,29,18,0,7,42
서울특별시 광진구 노유동,1,1,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 광진구 화양동,3884,813,1326,397,21,0,1228,1,89,0,2,0,1,6
서울특별시 광진구 군자동,5056,951,1903,536,14,3,1505,1,130,1,1,0,2,9
서울특별시 동대문구 신설동,1389,256,620,87,1,0,395,0,28,0,0,0,0,2
서울특별시 동대문구 용두동,8382,1525,3522,613,41,7,2416,16,222,2,3,0,1,14
서울특별시 동대문구 제기동,6450,1275,2580,537,17,0,1874,2,151,2,2,0,0,10
서울특별시 동대문구 전농동,13106,2657,4808,1107,45,5,4023,3,415,6,7,0,7,23
서울특별시 동대문구 답십리동,18086,3575,6745,1552,65,6,5531,11,548,6,9,0,3,35
서울특별시 동대문구 장안동,23800,4644,9139,2297,60,6,6912,5,645,9,13,0,14,56
서울특별시 동대문구 청량리동,5241,1061,1921,570,19,0,1538,0,122,2,2,0,2,4
서울특별시 동대문구 회기동,2094,451,706,153,8,3,695,0,67,1,1,0,3,6
서울특별시 동대문구 휘경동,10170,1948,3758,927,28,2,3155,16,306,4,6,0,3,17
서울특별시 동대문구 이문동,9355,1937,3317,848,29,3,2931,1,257,1,5,0,4,22
서울특별시 중랑구 면목동,37518,6426,14690,4024,117,11,11077,251,851,7,19,0,8,37
서울특별시 중랑구 상봉동,13702,2288,5027,1557,41,5,4380,4,356,4,9,0,4,27
서울특별시 중랑구 중화동,11839,2022,4712,1306,27,3,3520,1,218,1,6,0,5,18
서울특별시 중랑구 묵동,16614,3146,6371,1499,34,2,5101,1,422,6,2,0,2,28
서울특별시 중랑구 망우동,14815,2090,5653,2899,88,5,3790,6,257,1,10,0,4,12
서울특별시 중랑구 신내동,19808,3380,7233,2415,107,5,5942,114,537,2,17,0,5,51
서울특별시 성북구 성북동,3350,933,1076,184,21,1,991,1,133,2,2,0,2,4
서울특별시 성북구 성북동1가,380,106,117,13,2,0,127,0,13,0,0,0,0,2
서울특별시 성북구 돈암동,12089,2936,3678,736,50,4,4134,1,507,4,7,0,2,30
서울특별시 성북구 동소문동1가,258,58,98,13,2,0,77,0,8,0,0,0,0,2
서울특별시 성북구 동소문동2가,101,25,32,10,1,0,31,0,1,0,0,0,0,1
서울특별시 성북구 동소문동3가,47,7,25,4,0,0,11,0,0,0,0,0,0,0
서울특별시 성북구 동소문동4가,841,184,283,62,5,0,287,0,17,0,1,0,0,2
서울특별시 성북구 동소문동5가,337,75,143,16,0,0,94,0,9,0,0,0,0,0
서울특별시 성북구 동소문동6가,467,81,237,28,0,0,116,1,4,0,0,0,0,0
서울특별시 성북구 동소문동7가,686,168,214,32,0,0,234,0,33,1,2,0,0,2
서울특별시 성북구 삼선동1가,861,193,308,69,4,1,264,0,21,0,0,0,0,1
서울특별시 성북구 삼선동2가,1661,382,575,91,2,1,543,0,61,0,0,0,1,5
서울특별시 성북구 삼선동3가,1055,221,410,63,4,0,319,0,35,0,1,0,0,2
서울특별시 성북구 삼선동4가,726,148,233,63,2,0,249,0,29,1,0,0,1,0
서울특별시 성북구 삼선동5가,947,156,417,47,27,0,270,13,16,0,0,0,0,1
서울특별시 성북구 동선동1가,229,49,84,15,2,0,73,0,6,0,0,0,0,0
서울특별시 성북구 동선동2가,343,66,120,27,3,0,114,8,5,0,0,0,0,0
서울특별시 성북구 동선동3가,521,101,202,41,1,0,163,0,11,1,0,0,0,1
서울특별시 성북구 동선동4가,548,97,218,42,1,0,170,0,18,0,1,0,0,1
서울특별시 성북구 동선동5가,465,84,157,40,3,0,171,0,9,1,0,0,0,0
서울특별시 성북구 안암동1가,860,193,272,59,5,1,281,0,45,1,0,0,0,3
서울특별시 성북구 안암동2가,388,57,148,46,1,0,127,0,8,0,1,0,0,0
서울특별시 성북구 안암동3가,956,184,356,75,0,0,320,0,20,0,1,0,0,0
서울특별시 성북구 안암동4가,309,52,134,18,0,0,99,0,5,0,1,0,0,0
서울특별시 성북구 안암동5가,629,127,248,39,2,0,195,0,15,0,1,0,0,2
서울특별시 성북구 보문동4가,362,62,174,19,6,0,93,0,8,0,0,0,0,0
서울특별시 성북구 보문동5가,445,63,231,35,0,0,112,0,4,0,0,0,0,0
서울특별시 성북구 보문동6가,1731,369,641,88,8,0,561,0,54,1,2,0,1,6
서울특별시 성북구 보문동7가,309,58,141,17,0,0,87,0,5,1,0,0,0,0
서울특별시 성북구 보문동1가,110,20,48,8,0,0,31,0,3,0,0,0,0,0
서울특별시 성북구 보문동2가,611,97,166,199,3,0,139,0,6,0,0,0,1,0
서울특별시 성북구 보문동3가,851,217,273,39,4,0,280,0,36,0,0,0,1,1
서울특별시 성북구 정릉동,23629,4501,8026,2097,144,6,7430,607,751,4,10,3,7,43
서울특별시 성북구 길음동,14630,3325,4633,835,57,11,5152,13,553,6,4,0,7,34
서울특별시 성북구 종암동,10608,2251,3824,792,41,4,3318,2,341,5,6,0,2,22
