기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2020,4,A,골목상권,1000925,선릉로132길,14797,8337,6460,62,2966,4134,3407,2601,1627,22,1265,2422,2118,1486,1024,40,1701,1712,1289,1115,603
2020,4,A,골목상권,1000924,선릉로121길,18000,11157,6843,53,3237,4976,4691,3250,1793,22,1435,2912,3203,2224,1361,31,1802,2064,1488,1026,432
2020,4,A,골목상권,1000923,삼성로75길,36407,23199,13208,154,5807,10785,10133,6080,3448,23,2523,6664,7248,4502,2239,131,3284,4121,2885,1578,1209
2020,4,A,골목상권,1000922,삼성로69길,8931,4633,4298,45,1557,2247,1999,1811,1272,28,693,1155,1038,925,794,17,864,1092,961,886,478
2020,4,A,골목상권,1000921,삼성로64길,35162,16304,18858,260,6558,8431,7767,7464,4682,105,3031,4961,4059,2487,1661,155,3527,3470,3708,4977,3021
2020,4,A,골목상권,1000920,삼성로63길,10667,5579,5088,41,1898,2740,2559,2177,1252,26,758,1441,1387,1197,770,15,1140,1299,1172,980,482
2020,4,A,골목상권,1000919,삼성로57길,6636,3581,3055,21,1190,1878,1701,1305,541,10,417,983,958,835,378,11,773,895,743,470,163
2020,4,A,골목상권,1000918,삼성로147길,12296,6043,6253,23,3433,3978,2326,1519,1017,7,1195,1958,1355,891,637,16,2238,2020,971,628,380
2020,4,A,골목상권,1000917,삼성로115길,13425,8468,4957,58,2827,3756,2883,1899,2002,22,1224,2494,2087,1222,1419,36,1603,1262,796,677,583
2020,4,A,골목상권,1000916,봉은사로68길,32233,21159,11074,60,4773,11509,9118,4497,2276,19,2142,7295,7189,3099,1415,41,2631,4214,1929,1398,861
2020,4,A,골목상권,1000915,봉은사로57길,9907,6461,3446,39,2215,3084,2106,1424,1039,25,1014,1834,1606,1150,832,14,1201,1250,500,274,207
2020,4,A,골목상권,1000914,봉은사로43길,24610,15242,9368,76,5118,7378,5787,3797,2454,32,2243,4420,3999,2674,1874,44,2875,2958,1788,1123,580
2020,4,A,골목상권,1000913,봉은사로29길,26224,16731,9493,70,5560,8193,6149,3958,2294,28,2449,5252,4379,2928,1695,42,3111,2941,1770,1030,599
2020,4,A,골목상권,1000912,봉은사로109길,24145,18222,5923,20,4868,7417,6774,4004,1062,6,2796,5509,5700,3406,805,14,2072,1908,1074,598,257
2020,4,A,골목상권,1000911,도산대로89길,15582,8941,6641,53,3591,4910,3627,2340,1061,25,1396,2918,2412,1412,778,28,2195,1992,1215,928,283
2020,4,A,골목상권,1000910,도산대로81길,27385,14619,12766,88,6799,9828,6003,3413,1254,32,2185,5140,3893,2419,950,56,4614,4688,2110,994,304
2020,4,A,골목상권,1000909,도산대로50길,22572,12409,10163,69,5440,7053,5252,3150,1608,22,1757,3485,3447,2427,1271,47,3683,3568,1805,723,337
2020,4,A,골목상권,1000908,도산대로38길,21627,12075,9552,49,4549,6686,5241,3289,1813,15,1620,3499,3348,2260,1333,34,2929,3187,1893,1029,480
2020,4,A,골목상권,1000907,도산대로30길,21588,11934,9654,79,5733,6495,4898,2782,1601,22,2154,3473,3199,1902,1184,57,3579,3022,1699,880,417
2020,4,A,골목상권,1000906,도산대로23길,14193,7539,6654,72,3880,4164,3152,1888,1037,21,1401,2263,1986,1139,729,51,2479,1901,1166,749,308
2020,4,A,골목상권,1000905,도산대로15길,11660,6658,5002,50,3189,3444,2432,1438,1107,14,1246,1951,1646,980,821,36,1943,1493,786,458,286
2020,4,A,골목상권,1000904,도곡로37길,35701,21132,14569,242,9630,10400,8608,4853,1968,84,4137,6467,5875,3069,1500,158,5493,3933,2733,1784,468
2020,4,A,골목상권,1000903,논현로8길,3256,2100,1156,4,503,741,725,654,629,1,248,485,459,431,476,3,255,256,266,223,153
2020,4,A,골목상권,1000902,논현로63길,36667,24758,11909,142,7242,9908,9605,7399,2371,42,2992,6291,7467,6076,1890,100,4250,3617,2138,1323,481
2020,4,A,골목상권,1000901,논현로28길,44952,23368,21584,229,8367,10518,13581,9175,3082,127,4058,6280,6374,4528,2001,102,4309,4238,7207,4647,1081
2020,4,A,골목상권,1000900,논현로26길,40746,21197,19549,210,7278,10726,12390,7170,2972,112,3624,6781,5771,2888,2021,98,3654,3945,6619,4282,951
2020,4,A,골목상권,1000899,논현로159길,7341,3388,3953,26,1678,2112,1628,1135,762,7,485,983,801,583,529,19,1193,1129,827,552,233
2020,4,A,골목상권,1000898,논현로139길,24381,14262,10119,100,6330,7345,5355,3137,2114,31,2532,4251,3691,2146,1611,69,3798,3094,1664,991,503
2020,4,A,골목상권,1000897,논현로123길,9592,5842,3750,41,2250,2774,2004,1467,1056,23,1098,1751,1356,890,724,18,1152,1023,648,577,332
2020,4,A,골목상권,1000896,논현로115길,23492,15502,7990,91,5412,7277,5283,3492,1937,49,2759,4778,3934,2581,1401,42,2653,2499,1349,911,536
2020,4,A,골목상권,1000895,논현로10길,5297,3312,1985,11,748,1190,1301,1096,951,3,375,745,791,659,739,8,373,445,510,437,212
2020,4,A,골목상권,1000894,논현로106길,13899,7758,6141,37,3054,4439,3228,1839,1302,14,1093,2548,2142,1076,885,23,1961,1891,1086,763,417
2020,4,A,골목상권,1000893,남부순환로365길,15923,10455,5468,81,2779,4396,4126,2593,1948,41,1329,3013,2997,1743,1332,40,1450,1383,1129,850,616
2020,4,A,골목상권,1000892,개포로82길,5032,3679,1353,5,764,1532,1246,879,606,3,466,1136,933,639,502,2,298,396,313,240,104
2020,4,A,골목상권,1000891,개포로28길,3568,2437,1131,10,596,991,913,613,445,3,294,656,675,423,386,7,302,335,238,190,59
2020,4,A,골목상권,1000890,개포로20길,12336,8232,4104,27,1910,3544,3270,2170,1415,11,988,2384,2354,1414,1081,16,922,1160,916,756,334
2020,4,A,골목상권,1000889,개포로17길,28812,12804,16008,106,4586,6834,9279,5716,2291,55,2221,3947,3251,1802,1528,51,2365,2887,6028,3914,763
2020,4,A,골목상권,1000888,강남대로140길,20953,11799,9154,51,4593,6512,4708,3179,1910,15,1631,3672,3101,1954,1426,36,2962,2840,1607,1225,484
2020,4,A,골목상권,1000887,강남대로136길,21883,13083,8800,48,4879,7114,5169,3066,1607,20,2064,4299,3523,2024,1153,28,2815,2815,1646,1042,454
2020,4,A,골목상권,1000886,강남대로118길,10604,6747,3857,61,2633,3254,2316,1419,921,42,1455,2142,1577,896,635,19,1178,1112,739,523,286
2020,4,A,골목상권,1000885,서초중앙로8길,38050,20954,17096,82,8143,9265,8034,10092,2434,24,2727,4762,4524,7107,1810,58,5416,4503,3510,2985,624
2020,4,A,골목상권,1000884,방배중앙로21길,16510,8458,8052,20,2629,4012,4628,2955,2266,7,832,1718,2309,1757,1835,13,1797,2294,2319,1198,431
2020,4,A,골목상권,1000883,효령로72길,24614,18420,6194,62,4386,8514,5977,4128,1547,23,2507,6534,4808,3459,1089,39,1879,1980,1169,669,458
2020,4,A,골목상권,1000882,효령로34길,9543,6126,3417,101,1530,2821,2430,1576,1085,32,778,1644,1705,1140,827,69,752,1177,725,436,258
2020,4,A,골목상권,1000881,효령로31길,10396,6972,3424,67,2283,3142,2320,1505,1079,54,1293,2175,1655,999,796,13,990,967,665,506,283
2020,4,A,골목상권,1000880,효령로23길,12360,8243,4117,70,2534,3561,2833,1887,1475,51,1396,2445,2027,1219,1105,19,1138,1116,806,668,370
2020,4,A,골목상권,1000879,청두곶길,13318,6766,6552,23,2174,3922,3771,2298,1130,8,761,1970,1855,1410,762,15,1413,1952,1916,888,368
2020,4,A,골목상권,1000878,주흥길,4434,2544,1890,5,758,1268,1079,818,506,1,301,746,698,452,346,4,457,522,381,366,160
2020,4,A,골목상권,1000877,주흥15길,8390,4402,3988,23,1897,2583,1908,1198,781,7,571,1379,1238,681,526,16,1326,1204,670,517,255
2020,4,A,골목상권,1000876,언남길,15684,10674,5010,57,2338,4446,4140,2875,1828,31,1297,3069,2963,1936,1378,26,1041,1377,1177,939,450
2020,4,A,골목상권,1000875,신반포로45길,9300,5414,3886,32,1924,2692,2293,1366,993,15,732,1544,1578,865,680,17,1192,1148,715,501,313
2020,4,A,골목상권,1000874,서초대로8길,8398,4185,4213,32,1337,2073,2131,1627,1198,17,529,1029,1017,810,783,15,808,1044,1114,817,415
2020,4,A,골목상권,1000873,서초대로64길,37600,20771,16829,57,7011,9434,8670,10586,1842,29,2689,5015,4514,7163,1361,28,4322,4419,4156,3423,481
2020,4,A,골목상권,1000872,서초대로4길,10140,4542,5598,28,1886,2617,2462,1862,1285,11,653,1116,1089,905,768,17,1233,1501,1373,957,517
2020,4,A,골목상권,1000871,서초대로25길,24314,16435,7879,106,4990,7269,5855,4164,1930,58,2305,4767,4433,3344,1528,48,2685,2502,1422,820,402
2020,4,A,골목상권,1000870,서초대로23길,14565,9691,4874,43,2337,3705,3867,3085,1528,22,1049,2314,2748,2370,1188,21,1288,1391,1119,715,340
2020,4,A,골목상권,1000869,서초대로15길,9192,5518,3674,30,1668,2228,2112,1684,1470,19,709,1313,1305,1049,1123,11,959,915,807,635,347
2020,4,A,골목상권,1000868,사평대로57길,9692,5277,4415,23,2181,2959,2377,1412,740,3,729,1591,1581,861,512,20,1452,1368,796,551,228
2020,4,A,골목상권,1000867,사평대로26길,8763,6278,2485,31,1301,2349,2263,1786,1033,13,701,1708,1772,1341,743,18,600,641,491,445,290
2020,4,A,골목상권,1000866,사평대로22길,83130,76093,7037,35,8034,17085,21932,32915,3129,16,6503,14918,20092,31859,2705,19,1531,2167,1840,1056,424
2020,4,A,골목상권,1000865,사임당로17길,18885,10560,8325,54,3095,5532,5094,3752,1358,32,1353,3183,2952,2067,973,22,1742,2349,2142,1685,385
2020,4,A,골목상권,1000864,방배로42길,19353,11886,7467,56,4076,5642,5020,3373,1186,21,1447,3361,3570,2531,956,35,2629,2281,1450,842,230
2020,4,A,골목상권,1000863,방배로35길,14040,8753,5287,45,2919,3994,3226,2662,1194,10,1039,2388,2311,2037,968,35,1880,1606,915,625,226
2020,4,A,골목상권,1000862,방배로18길,16840,11174,5666,81,3310,5220,4087,3098,1044,62,1567,3114,3035,2604,792,19,1743,2106,1052,494,252
2020,4,A,골목상권,1000861,반포대로9길,15176,11618,3558,15,1629,4660,4470,2975,1427,6,940,3607,3698,2393,974,9,689,1053,772,582,453
2020,4,A,골목상권,1000860,바우뫼로39길,39654,19271,20383,492,8808,9187,11046,6992,3129,236,4317,5422,4328,2604,2364,256,4491,3765,6718,4388,765
2020,4,A,골목상권,1000859,마방로2길,11756,8032,3724,54,1886,3149,2959,2368,1340,30,1016,2143,2116,1678,1049,24,870,1006,843,690,291
2020,4,A,골목상권,1000858,방배천로4안길,6670,3345,3325,11,1175,1741,1631,1195,917,3,392,798,816,709,627,8,783,943,815,486,290
2020,4,A,골목상권,1000857,동산로19길,14591,9621,4970,35,2268,4095,3799,2565,1829,17,1228,2718,2639,1669,1350,18,1040,1377,1160,896,479
2020,4,A,골목상권,1000856,동산로10길,9541,6026,3515,37,1657,2897,2324,1683,943,16,878,1823,1482,1116,711,21,779,1074,842,567,232
2020,4,A,골목상권,1000855,동광로39길,83553,76161,7392,42,8224,17347,22130,32757,3053,22,6604,15010,20184,31684,2657,20,1620,2337,1946,1073,396
2020,4,A,골목상권,1000854,동광로1길,18425,8873,9552,82,3241,4438,4954,3232,2478,67,997,1910,2270,1745,1884,15,2244,2528,2684,1487,594
2020,4,A,골목상권,1000853,동광로12길,16378,7732,8646,41,2860,3929,4673,3062,1813,19,968,1743,2280,1575,1147,22,1892,2186,2393,1487,666
2020,4,A,골목상권,1000852,논현로27길,43316,22358,20958,444,9311,10840,12210,7550,2961,214,4629,6597,5384,3167,2367,230,4682,4243,6826,4383,594
2020,4,A,골목상권,1000851,논현로1길,10640,6745,3895,39,2086,3148,2518,1816,1033,23,1269,2062,1534,1102,755,16,817,1086,984,714,278
2020,4,A,골목상권,1000850,남부순환로339길,10187,6065,4122,25,2320,3177,2368,1586,711,7,912,1974,1634,1031,507,18,1408,1203,734,555,204
2020,4,A,골목상권,1000849,남부순환로325길,21342,12721,8621,33,3446,6484,4846,4022,2511,12,1580,3541,3071,2698,1819,21,1866,2943,1775,1324,692
2020,4,A,골목상권,1000848,남부순환로317길,21593,13962,7631,26,3057,7074,5526,3765,2145,12,1416,4293,4011,2678,1552,14,1641,2781,1515,1087,593
2020,4,A,골목상권,1000847,고무래로8길,13873,8968,4905,51,1917,3635,3853,2761,1656,16,938,2304,2759,1866,1085,35,979,1331,1094,895,571
2020,4,A,골목상권,1000846,강남대로8길,28099,21600,6499,54,3219,6302,8273,8682,1569,26,1934,4597,6382,7416,1245,28,1285,1705,1891,1266,324
