 교육청명 , 유치원명 , 설립유형 , 주소 , 운영시간 , 만3세학급수 , 만4세학급수 , 만5세학급수 , 혼합학급수 , 특수학급수 , 만3세유아수 , 만4세유아수 , 만5세유아수 , 혼합유아수 , 특수유아수 , 공시차수 ,입력주소,경도,위도
 서울특별시교육청 , 성실유치원 , 사립(사인) , 서울특별시 강북구 삼각산로 143-1 , 07시00분~22시00분 ,1,1,2,0,0,14,22,42,0,0,20211,서울특별시 강북구 삼각산로 143-1 ,127.018785,37.6424084
 서울특별시교육청 , 우일유치원 , 사립(사인) , 서울특별시 강서구 곰달래로47길 88 , 09시00분~18시00분 ,2,2,2,0,0,21,29,41,0,0,20211,서울특별시 강서구 곰달래로47길 88 ,126.8552458,37.5351547
 서울특별시교육청 , 한영유치원 , 사립(사인) , 서울특별시 영등포구 영중로41길 5 , 09시30분~19시00분 ,1,1,2,0,0,24,26,42,0,0,20211,서울특별시 영등포구 영중로41길 5 ,126.9047996,37.5284975
 서울특별시교육청 , 슬기유치원 , 사립(사인) , 서울특별시 광진구 자양로 296 , 07시00분~22시00분 ,0,0,2,1,0,0,0,36,21,0,20211,서울특별시 광진구 자양로 296 ,127.0926398,37.5520577
 서울특별시교육청 , 윤진유치원 , 사립(사인) , 서울특별시 광진구 아차산로21길 15 , 09시00분~20시00분 ,0,0,0,1,0,0,0,0,17,0,20182,서울특별시 광진구 아차산로21길 15 ,127.0650401,37.5427147
 서울특별시교육청 , 자양하나유치원 , 사립(사인) , 서울특별시 광진구 아차산로41길 22-5 , 07시30분~19시30분 ,1,1,1,0,0,16,23,20,0,0,20211,서울특별시 광진구 아차산로41길 22-5 ,127.0786331,37.538839
 서울특별시교육청 , 서울가락초등학교병설유치원 , 공립(병설) , 서울특별시 송파구 송파대로37길 45-0(가락동 가락초등학교) , 09시00분~19시00분 ,1,2,2,0,1,15,31,38,0,4,20211,서울특별시 송파구 송파대로37길 45-0(가락동 가락초등학교) ,127.1077449,37.500119
 서울특별시교육청 , 서울길동초등학교병설유치원 , 공립(병설) , 서울특별시 강동구 양재대로116길 69 , 07시30분~19시30분 ,1,1,2,0,0,15,17,30,0,0,20211,서울특별시 강동구 양재대로116길 69 ,127.1446301,37.5383713
 서울특별시교육청 , 예원유치원 , 사립(사인) , 서울특별시 송파구 마천로 30 , 09시00분~20시00분 ,0,1,1,0,0,0,17,26,0,0,20192,서울특별시 송파구 마천로 30 ,127.1240488,37.5092246
 서울특별시교육청 , 햇빛유치원 , 사립(사인) , 서울특별시 송파구 올림픽로 419 , 09시00분~18시00분 ,4,3,3,0,0,82,78,86,0,0,20211,서울특별시 송파구 올림픽로 419 ,127.1141316,37.5204949
 서울특별시교육청 , 계상유치원 , 사립(법인) , 서울특별시 양천구 남부순환로86길 22 , 09시00분~20시00분 ,2,3,2,0,0,34,75,43,0,0,20211,서울특별시 양천구 남부순환로86길 22 ,126.8398579,37.5125058
