NO,우선순위,K,lon,lat,시,구,커버리지,id,도로명주소
213,3,21,127.1034226,37.50766,서울특별시,송파구,1.5km,,서울특별시 송파구 백제고분로39길 40
214,4,21,127.0356428,37.49028717,서울특별시,강남구,1.5km,,서울특별시 강남구 강남대로58길 45
215,5,21,127.129303,37.53658752,서울특별시,강동구,1.5km,,서울특별시 강동구 천호대로 1056
216,6,21,127.0785766,37.49946173,서울특별시,강남구,1.5km,,서울특별시 강남구 남부순환로 3183
217,7,21,126.9060274,37.57353209,서울특별시,서대문구,1.5km,,서울특별시 서대문구 수색로 123
218,8,21,127.0169049,37.58936078,서울특별시,성북구,1.5km,,서울특별시 성북구 삼선동5가 보문로 168
219,9,21,126.8270683,37.53885739,서울특별시,양천구,1.5km,,서울특별시 양천구 화곡로4길 2
220,10,21,126.8771776,37.50217699,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로55길 17
221,11,21,126.8475203,37.52995871,서울특별시,강서구,1.5km,,서울특별시 강서구 강서로 21
222,12,21,126.9022103,37.48427922,서울특별시,구로구,1.5km,,서울특별시 구로구 시흥대로 573
223,13,21,127.058973,37.56248502,서울특별시,동대문구,1.5km,,서울특별시 동대문구 천호대로 361
224,14,21,126.8608626,37.55797338,서울특별시,강서구,1.5km,,서울특별시 강서구 양천로 556
225,15,21,126.8316682,37.53077141,서울특별시,양천구,1.5km,,서울특별시 양천구 남부순환로 412
226,16,21,126.8374145,37.52088897,서울특별시,양천구,1.5km,,서울특별시 양천구 남부순환로 538
227,17,21,127.1317174,37.50594889,서울특별시,송파구,1.5km,,서울특별시 송파구 마천로 103
228,18,21,127.032418,37.64440506,서울특별시,도봉구,1.5km,,서울특별시 도봉구 도봉로 430
229,19,21,126.8978669,37.46172322,서울특별시,금천구,1.5km,,서울특별시 금천구 시흥대로 316
230,20,21,126.8164618,37.58476484,서울특별시,강서구,1.5km,,서울특별시 강서구 금낭화로26가길 152-186
231,21,21,127.0737078,37.55983509,서울특별시,광진구,1.5km,,서울특별시 광진구 동일로 322
232,1,22,127.0668206,37.57603432,서울특별시,동대문구,1.5km,,서울특별시 동대문구 한천로33길 15
233,2,22,126.8602541,37.49667843,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로 364
234,3,22,127.1034226,37.50766,서울특별시,송파구,1.5km,,서울특별시 송파구 백제고분로39길 40
235,4,22,127.0356428,37.49028717,서울특별시,강남구,1.5km,,서울특별시 강남구 강남대로58길 45
236,5,22,127.129303,37.53658752,서울특별시,강동구,1.5km,,서울특별시 강동구 천호대로 1056
237,6,22,127.0785766,37.49946173,서울특별시,강남구,1.5km,,서울특별시 강남구 남부순환로 3183
238,7,22,126.9060274,37.57353209,서울특별시,서대문구,1.5km,,서울특별시 서대문구 수색로 123
239,8,22,127.0169049,37.58936078,서울특별시,성북구,1.5km,,서울특별시 성북구 삼선동5가 보문로 168
240,9,22,126.8270683,37.53885739,서울특별시,양천구,1.5km,,서울특별시 양천구 화곡로4길 2
241,10,22,126.8771776,37.50217699,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로55길 17
242,11,22,126.8475203,37.52995871,서울특별시,강서구,1.5km,,서울특별시 강서구 강서로 21
243,12,22,126.9022103,37.48427922,서울특별시,구로구,1.5km,,서울특별시 구로구 시흥대로 573
244,13,22,127.058973,37.56248502,서울특별시,동대문구,1.5km,,서울특별시 동대문구 천호대로 361
245,14,22,126.8608626,37.55797338,서울특별시,강서구,1.5km,,서울특별시 강서구 양천로 556
246,15,22,126.8316682,37.53077141,서울특별시,양천구,1.5km,,서울특별시 양천구 남부순환로 412
247,16,22,126.8374145,37.52088897,서울특별시,양천구,1.5km,,서울특별시 양천구 남부순환로 538
248,17,22,127.1317174,37.50594889,서울특별시,송파구,1.5km,,서울특별시 송파구 마천로 103
249,18,22,127.032418,37.64440506,서울특별시,도봉구,1.5km,,서울특별시 도봉구 도봉로 430
250,19,22,126.8978669,37.46172322,서울특별시,금천구,1.5km,,서울특별시 금천구 시흥대로 316
251,20,22,127.0609412,37.61296776,서울특별시,성북구,1.5km,,서울특별시 성북구 화랑로 292
252,21,22,126.8164618,37.58476484,서울특별시,강서구,1.5km,,서울특별시 강서구 금낭화로26가길 152-186
253,22,22,127.0737078,37.55983509,서울특별시,광진구,1.5km,,서울특별시 광진구 동일로 322
254,1,23,127.0668206,37.57603432,서울특별시,동대문구,1.5km,,서울특별시 동대문구 한천로33길 15
255,2,23,126.8602541,37.49667843,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로 364
256,3,23,127.1034226,37.50766,서울특별시,송파구,1.5km,,서울특별시 송파구 백제고분로39길 40
257,4,23,127.0356428,37.49028717,서울특별시,강남구,1.5km,,서울특별시 강남구 강남대로58길 45
258,5,23,127.129303,37.53658752,서울특별시,강동구,1.5km,,서울특별시 강동구 천호대로 1056
259,6,23,127.0785766,37.49946173,서울특별시,강남구,1.5km,,서울특별시 강남구 남부순환로 3183
260,7,23,126.9060274,37.57353209,서울특별시,서대문구,1.5km,,서울특별시 서대문구 수색로 123
261,8,23,127.0169049,37.58936078,서울특별시,성북구,1.5km,,서울특별시 성북구 삼선동5가 보문로 168
262,9,23,126.8270683,37.53885739,서울특별시,양천구,1.5km,,서울특별시 양천구 화곡로4길 2
263,10,23,126.8771776,37.50217699,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로55길 17
264,11,23,126.8475203,37.52995871,서울특별시,강서구,1.5km,,서울특별시 강서구 강서로 21
265,12,23,126.9022103,37.48427922,서울특별시,구로구,1.5km,,서울특별시 구로구 시흥대로 573
