NO,우선순위,K,lon,lat,시,구,커버리지,도로명주소
189,18,19,126.8164618,37.58476484,서울특별시,강서구,2km,서울특별시 강서구 금낭화로26가길 152-186
190,19,19,127.0737078,37.55983509,서울특별시,광진구,2km,서울특별시 광진구 동일로 322
191,1,20,127.1034226,37.50766,서울특별시,송파구,2km,서울특별시 송파구 백제고분로39길 40
192,2,20,127.0668206,37.57603432,서울특별시,동대문구,2km,서울특별시 동대문구 한천로33길 15
193,3,20,127.129303,37.53658752,서울특별시,강동구,2km,서울특별시 강동구 천호대로 1056
194,4,20,126.8602541,37.49667843,서울특별시,구로구,2km,서울특별시 구로구 경인로 364
195,5,20,127.0751929,37.49764689,서울특별시,강남구,2km,서울특별시 강남구 남부순환로 3154
196,6,20,126.9060274,37.57353209,서울특별시,서대문구,2km,서울특별시 서대문구 수색로 123
197,7,20,126.8771776,37.50217699,서울특별시,구로구,2km,서울특별시 구로구 경인로55길 17
198,8,20,126.9022103,37.48427922,서울특별시,구로구,2km,서울특별시 구로구 시흥대로 573
199,9,20,126.8475203,37.52995871,서울특별시,강서구,2km,서울특별시 강서구 강서로 21
200,10,20,127.0169049,37.58936078,서울특별시,성북구,2km,서울특별시 성북구 삼선동5가 보문로 168
201,11,20,127.058973,37.56248502,서울특별시,동대문구,2km,서울특별시 동대문구 천호대로 361
202,12,20,126.8270683,37.53885739,서울특별시,양천구,2km,서울특별시 양천구 화곡로4길 2
203,13,20,126.8608626,37.55797338,서울특별시,강서구,2km,서울특별시 강서구 양천로 556
204,14,20,126.8316682,37.53077141,서울특별시,양천구,2km,서울특별시 양천구 남부순환로 412
205,15,20,126.8374145,37.52088897,서울특별시,양천구,2km,서울특별시 양천구 남부순환로 538
206,16,20,127.1317174,37.50594889,서울특별시,송파구,2km,서울특별시 송파구 마천로 103
207,17,20,127.032418,37.64440506,서울특별시,도봉구,2km,서울특별시 도봉구 도봉로 430
208,18,20,126.8978669,37.46172322,서울특별시,금천구,2km,서울특별시 금천구 시흥대로 316
209,19,20,126.8164618,37.58476484,서울특별시,강서구,2km,서울특별시 강서구 금낭화로26가길 152-186
210,20,20,127.0737078,37.55983509,서울특별시,광진구,2km,서울특별시 광진구 동일로 322
211,1,21,127.1034226,37.50766,서울특별시,송파구,2km,서울특별시 송파구 백제고분로39길 40
212,2,21,127.0668206,37.57603432,서울특별시,동대문구,2km,서울특별시 동대문구 한천로33길 15
213,3,21,127.129303,37.53658752,서울특별시,강동구,2km,서울특별시 강동구 천호대로 1056
214,4,21,126.8602541,37.49667843,서울특별시,구로구,2km,서울특별시 구로구 경인로 364
215,5,21,127.0751929,37.49764689,서울특별시,강남구,2km,서울특별시 강남구 남부순환로 3154
216,6,21,126.9060274,37.57353209,서울특별시,서대문구,2km,서울특별시 서대문구 수색로 123
217,7,21,126.8771776,37.50217699,서울특별시,구로구,2km,서울특별시 구로구 경인로55길 17
218,8,21,126.9022103,37.48427922,서울특별시,구로구,2km,서울특별시 구로구 시흥대로 573
