NO,K,lon,lat
296,24,126.8164535,37.58566613
297,24,127.0737078,37.55983509
298,24,127.0722508,37.61661466
299,24,126.8608626,37.55797338
300,24,127.058973,37.56248502
301,25,127.0559692,37.68685877
302,25,126.9339614,37.47361931
303,25,126.8475203,37.52995871
304,25,126.8270683,37.53885739
305,25,126.9531867,37.47370984
306,25,126.8602541,37.49667843
307,25,126.8316682,37.53077141
308,25,126.8374145,37.52088897
309,25,127.0792574,37.57968469
310,25,127.0222801,37.63444973
311,25,127.0840381,37.53463405
312,25,126.8978669,37.46172322
313,25,127.032418,37.64440506
314,25,127.0785766,37.49946173
315,25,127.0675304,37.64904569
316,25,126.9825529,37.47925026
317,25,126.9950363,37.47299474
318,25,127.1034178,37.50856135
319,25,127.0668206,37.57603432
320,25,127.0770739,37.5652553
321,25,126.8164535,37.58566613
322,25,127.0737078,37.55983509
323,25,127.0722508,37.61661466
324,25,126.8608626,37.55797338
325,25,127.058973,37.56248502
326,26,127.0559692,37.68685877
327,26,126.9339614,37.47361931
328,26,126.8475203,37.52995871
329,26,126.8270683,37.53885739
330,26,126.9531867,37.47370984
331,26,126.8602541,37.49667843
332,26,126.8316682,37.53077141
333,26,126.8374145,37.52088897
334,26,127.0792574,37.57968469
335,26,127.0222801,37.63444973
336,26,127.0840381,37.53463405
337,26,126.8978669,37.46172322
338,26,127.032418,37.64440506
339,26,127.0785766,37.49946173
340,26,127.0675304,37.64904569
341,26,126.9825529,37.47925026
342,26,126.9950363,37.47299474
343,26,127.1034178,37.50856135
344,26,127.0668206,37.57603432
345,26,127.0770739,37.5652553
346,26,127.128095,37.55190676
347,26,126.8164535,37.58566613
348,26,127.0737078,37.55983509
349,26,127.0722508,37.61661466
350,26,126.8608626,37.55797338
351,26,127.058973,37.56248502
352,27,127.0559692,37.68685877
353,27,126.9339614,37.47361931
354,27,126.8475203,37.52995871
355,27,126.8270683,37.53885739
356,27,126.9531867,37.47370984
357,27,126.8602541,37.49667843
358,27,126.8316682,37.53077141
359,27,126.8374145,37.52088897
360,27,127.0792574,37.57968469
361,27,127.0222801,37.63444973
362,27,127.0840381,37.53463405
363,27,126.8978669,37.46172322
364,27,127.032418,37.64440506
365,27,127.0785766,37.49946173
366,27,127.0675304,37.64904569
367,27,126.9825529,37.47925026
368,27,126.9950363,37.47299474
369,27,127.1034178,37.50856135
370,27,127.0668206,37.57603432
371,27,127.0770739,37.5652553
372,27,127.128095,37.55190676
373,27,127.0279354,37.63627517
374,27,126.8164535,37.58566613
375,27,127.0737078,37.55983509
376,27,127.0722508,37.61661466
377,27,126.8608626,37.55797338
378,27,127.058973,37.56248502
379,28,127.0559692,37.68685877
380,28,126.9339614,37.47361931
381,28,126.8475203,37.52995871
382,28,126.8270683,37.53885739
