NO,K,lon,lat,시,구,도로명주소,id,
158,18,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,158,2846
159,18,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,159,2845
160,18,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,160,2844
161,18,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,161,2843
162,18,127.0792574,37.57968469,서울특별시,중랑구,서울특별시 중랑구 동일로 553,162,2842
163,18,127.0222801,37.63444973,서울특별시,강북구,서울특별시 강북구 덕릉로 78,163,2841
164,18,127.0840381,37.53463405,서울특별시,광진구,서울특별시 광진구 자양로 75,164,2840
165,18,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,165,2839
166,18,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,166,2838
167,18,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,167,2837
168,18,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,168,2836
169,18,127.0722508,37.61661466,서울특별시,노원구,서울특별시 노원구 화랑로 405,169,2835
170,18,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,170,2834
171,18,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,171,2833
172,19,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,172,2832
173,19,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,173,2831
174,19,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,174,2830
175,19,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,175,2829
176,19,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,176,2828
177,19,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,177,2827
178,19,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,178,2826
179,19,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,179,2825
180,19,127.0792574,37.57968469,서울특별시,중랑구,서울특별시 중랑구 동일로 553,180,2824
181,19,127.0222801,37.63444973,서울특별시,강북구,서울특별시 강북구 덕릉로 78,181,2823
182,19,127.0840381,37.53463405,서울특별시,광진구,서울특별시 광진구 자양로 75,182,2822
183,19,126.8978669,37.46172322,서울특별시,금천구,서울특별시 금천구 시흥대로 316,183,2821
184,19,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,184,2820
185,19,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,185,2819
186,19,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,186,2818
187,19,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,187,2817
188,19,127.0722508,37.61661466,서울특별시,노원구,서울특별시 노원구 화랑로 405,188,2816
189,19,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,189,2815
190,19,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,190,2814
191,20,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,191,2813
192,20,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,192,2812
193,20,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,193,2811
194,20,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,194,2810
195,20,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,195,2809
